MacroRegiune,Autobuze_microbuze,Autoturisme,Mopede_motociclete ,AutovehiculePentruTransportulMarfurilor,VehiculeRutiere_ScopuriSpeciale,Tractoare,Remorci_semiremorci
1,0.005013955955457377,0.7676681102374938,0.024042488849789934,0.1223765876314334,0.004648077053692426,0.005345470540481974,0.07090530973165107
2,0.006008438862041607,0.7950403224421524,0.012927052099755112,0.12642622607357643,0.004398031275652321,0.003645849433115922,0.051554079813706195
3,0.006126264859047662,0.7952735928971298,0.017817893117584836,0.12736335944856395,0.006693730408243709,0.00304376836509204,0.04368139090433791
4,0.005126161637457627,0.7932547483776538,0.01764794837632914,0.11376568672794365,0.00452071382131949,0.005219986732027803,0.060464754327268555
