Regiune,Autobuze_microbuze,Autoturisme,Mopede_motociclete ,AutovehiculePentruTransportulMarfurilor,VehiculeRutiere_ScopuriSpeciale,Tractoare,Remorci_semiremorci
Bucuresti-Ilfov,0.006180239501811101,0.7986903524425045,0.02000934581012074,0.1303488073994582,0.007614086480719077,0.001767625911791484,0.035389542453594915
Centru,0.005004837896400878,0.7648816418866433,0.029347633519126726,0.11268295425121629,0.005258657108982134,0.007573692745880974,0.07525058259174969
Nord-Est,0.00601114232810203,0.7949392756918496,0.012865711648627829,0.12910277713963791,0.004140016998422735,0.003415108139679303,0.0495259680536806
Nord-Vest,0.005022194312591963,0.7701857426937307,0.01924917964156647,0.1311349882102334,0.004096405198579072,0.0033322251568377566,0.06697926478646055
Sud,0.0060501604095347175,0.7904559490739276,0.014727936570210019,0.1231538665974828,0.00539602488087931,0.004843134028968633,0.05537292843899692
Sud-Est,0.006005403952266607,0.7951537574782771,0.012995912862408815,0.12342153105905618,0.004687677986412659,0.003904879504622521,0.05383083715695611
Sud-Vest,0.005302585276066755,0.795998724425572,0.012296985056757467,0.11857695126522437,0.004541716318960743,0.0060835948820373385,0.057199442775381415
Vest,0.004954436393379418,0.7905838480363594,0.02285640847471103,0.10908255252040207,0.004500270647932239,0.004379377607777234,0.06364310631943862
