IndicativJudet,NumeJudet,Tractoare,Autobuze_microbuze
ab,Alba,1134,800
bv,Brasov,2397,1741
cl,Calarasi,587,584
cs,Caras-Severin,880,644
cv,Covasna,2697,422
gj,Gorj,1727,1149
hr,Harghita,959,546
il,Ialomita,647,642
ot,Olt,750,672
sm,Satu Mare,1115,838
vl,Valcea,1671,979
vn,Vrancea,1037,615
